group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
in,CXCR4,19.137629,1.28578,1.2273045403799182585e-81,6.1365227018995905717e-79,78.212077654782295726
in,HLA-DRA,16.877098,2.056831,6.6326902472944594694e-64,1.6581725618236147054e-61,60.780370275505828565
in,ETS1,12.712605,6.513958,5.032887643451919543e-37,6.2911095543148994706e-35,34.20127275188061847
in,BLK,11.6600895,2.2985563,2.0382784207400046603e-31,2.0382784207400045377e-29,28.690736493375572682
in,MS4A1,11.379617,2.258678,5.2831327032327492215e-30,4.402610586027290878e-28,27.356289726491123573
in,CIITA,10.920117,1.5679526,9.237600991434906719e-28,5.7735006196468160446e-26,25.238560783238629092
in,TNFRSF13C,10.67268,1.3872485,1.3662783854609850904e-26,7.590435474783250719e-25,24.119733307257339622
in,HLA-DPB1,9.070234,1.4663756,1.1876121771768959104e-19,3.958707257256319605e-18,17.402446612736024018
in,CCR7,8.956981,2.5249717,3.336905066637937976e-19,1.0427828333243556103e-17,16.981806126960815873
in,CD22,8.606768,1.6608589,7.514959056598245113e-18,2.2102820754700720232e-16,15.655552298259300427
in,STAT6,8.424082,,3.6359008186166315277e-17,1.0099724496157311347e-15,14.995690472893647789
in,CYBB,8.307229,1.2725127,9.79630568944317988e-17,2.577975181432415815e-15,14.588721267982939232
in,CD19,8.029332,1.2812862,9.800486238231935434e-16,2.45012155955798374e-14,13.610812368151543267
in,TRAC,7.7644,,8.203275649621792715e-15,1.953160868957569652e-13,12.709261985271610873
in,HLA-B,7.6834607,0.48093265,1.5484770785399339559e-14,3.5192660875907594152e-13,12.453547895425800825
in,CD79B,7.4083037,1.2005162,1.2792526439602151371e-13,2.7809840086091633547e-12,11.5558015084363676275
in,HLA-DRB1,7.050125,1.4103254,1.7875694161558203294e-12,3.7241029503246259218e-11,10.428978321745504316
in,TNFRSF13B,6.7984524,1.5461897,1.0574900945506059249e-11,2.1149801891012118498e-10,9.674693696281525426
in,HLA-DQA1,6.2127376,1.3466828,5.206941583602380066e-10,9.298109970718536157e-09,8.031605321629615082
in,CD40,6.1180367,0.93493366,9.473522055294707009e-10,1.6333658716025355087e-08,7.7869165230278769925
in,CD3E,6.0613565,,1.3497819354928113608e-09,2.2449817792689808553e-08,7.648787179469143631
in,PTPRC,6.0564146,1.7091004,1.3918887031467681766e-09,2.2449817792689808553e-08,7.648787179469143631
in,JAK1,5.737002,0.8868545,9.636719858136045671e-09,1.4171646850200066736e-07,6.848579678588390561
in,HLA-DMA,5.723917,0.76526546,1.04095492391859945396e-08,1.466918038615464078e-07,6.833594150895250477
in,CD83,5.716795,1.9025338,1.0855193485754433529e-08,1.466918038615464078e-07,6.833594150895250477
in,CD79A,5.4878287,0.2291844,4.069045815499067382e-08,5.3540076519724571583e-07,6.2713210124529638195
in,STAT5A,5.47118,0.95072025,4.4704863616704963905e-08,5.731392771372430876e-07,6.241739828395381346
in,CR2,5.156338,2.1066725,2.5182612750665601847e-07,3.0710503354470246671e-06,5.5127130652802340577
in,BRD4,4.924935,-2.2344885,8.438849217112116579e-07,1.0046249067990614199e-05,4.997996058954384801
in,HDAC1,4.6446314,-0.2940522,3.4068440577051919647e-06,3.9614465787269679642e-05,4.4021461962868145253
in,NFKB2,4.5454826,0.47953504,5.4809523374017561124e-06,6.2283549288656321077e-05,4.2056266467051190063
in,TGFBR2,4.38481,1.2775779,1.1608696428184995896e-05,0.00012898551586872216909,3.8894590550608880324
in,ITGB1,4.31534,-0.21060957,1.5935737749882051179e-05,0.00017321454075958751134,3.7614156532737290774
in,CREBBP,4.286232,0.7058922,1.81729323041269808e-05,0.00019332906706518064393,3.7137028447972094541
in,ITGB2,4.234229,0.85244477,2.2933727160200853285e-05,0.00023889299125209222455,3.6217965915862126221
in,BCL2,3.9211388,0.6429707,8.813152248452653728e-05,0.00086403453416202490294,3.06346889907634179
in,SOD2,3.7095466,-0.27055842,0.00020763072496510190964,0.0019964492785105951954,2.6997417189496240389
in,CXCR5,3.526626,1.4032916,0.0004208905509785120999,0.0038262777361682920145,2.4172235092414094512
in,SELL,3.4488142,3.2502718,0.00056305415399859632536,0.004939071526303476234,2.306354684457203938
in,TGFB1,3.3795705,-1.4663478,0.0007259917921646040365,0.0060499316013717004126,2.2182495353169126285
in,ITGA4,3.2551532,0.57414097,0.0011333126118522401319,0.008994544538509842771,2.0460208233601166856
in,PAX5,3.2358112,1.241751,0.001212975569325618801,0.009476371635356396761,2.023357915866144433
in,CD2,3.2091618,,0.0013312260696224952929,0.010240200535557655165,1.9896915384155253622
in,TAP2,3.0355766,0.31934717,0.0024007629621150350721,0.017916141508321156012,1.7467555159951372999
in,MAML1,2.9743528,0.5755198,0.002936071912550495839,0.021275883424278954625,1.6721123979496466782
in,ZAP70,2.6327984,-1.0682429,0.008468458290716586109,0.058003138977510866614,1.2365485029245864768
in,NOTCH1,2.579652,0.8383218,0.009889988926686953466,0.066824249504641580755,1.175065910054749117
in,ITGAM,2.4414542,1.2219359,0.014628244528685593884,0.09498860083562074563,1.0223285093556349532
in,RELA,2.4149382,-1.548342,0.015737874642910192752,0.09838716949042115856,1.0070615335079502846
in,TP53,2.1475801,3.5933394,0.031747114824025680913,0.19124767966280528664,0.71840382527632061467
in,FCER2,2.1370935,0.9803666,0.03259039253399722419,0.19399043174998345518,0.71221969038246442797
in,CD4,2.1161225,2.5445738,0.034334388577021354716,0.20196699162953737905,0.6947196034470902043
in,TIGIT,2.0659642,,0.03883185695562269002,0.22576661020710867,0.6463402877213517828
in,CD5,2.0411975,-1.0864114,0.041231196347938571523,0.23426816106783279747,0.630286731514602978
in,MYC,2.0190969,-0.2011173,0.04347714984272625649,0.24425365080183292221,0.6121589362632680048
in,LGALS9,2.0126133,-0.32173586,0.044155333487079555244,0.24530740826155308931,0.61028933594147235484
in,TAPBP,1.9935935,0.09885384,0.04619650527047132471,0.2538269520355567188,0.5954622652245464783
in,MYBL2,1.8284158,0.6193427,0.06748718430169253768,0.35519570685101337082,0.4495322920549867604
in,CD3D,1.794049,,0.07280533818513273969,0.37528524837697285754,0.42563850639531540916
in,IKBKB,1.7672931,2.3424134,0.07717916083400093441,0.39377122874490272375,0.40475601916235354723
in,CCR4,1.745921,-1.0418969,0.08082467837295292945,0.40412339186476464725,0.39348601057252719594
in,TAP1,1.7282956,0.47699815,0.08393523864097889031,0.41552098337118259508,0.3814070399130471833
in,IFNGR2,1.6620291,-0.10044721,0.096506929315122669255,0.45955680626248890386,0.33766079739758181498
in,IRF3,1.6461556,0.10563516,0.09973171642391751024,0.47043262464112034493,0.32750256743723368547
in,CSF3,1.6271386,0.5005657,0.10370767169470618274,0.48012810969771380076,0.3186428669755642254
