,scores,logFC,PValue,FDR
HLA-DRA,16.877098,2.056831,6.63269024729446e-64,1.6581725618236147e-61
ETS1,12.712605,6.513958,5.03288764345192e-37,6.2911095543149e-35
BLK,11.6600895,2.2985563,2.0382784207400047e-31,2.0382784207400045e-29
MS4A1,11.379617,2.258678,5.2831327032327485e-30,4.40261058602729e-28
CIITA,10.920117,1.5679526,9.237600991434905e-28,5.773500619646816e-26
TNFRSF13C,10.67268,1.3872485,1.3662783854609848e-26,7.59043547478325e-25
HLA-DPB1,9.070234,1.4663756,1.1876121771768962e-19,3.95870725725632e-18
CCR7,8.956981,2.5249717,3.3369050666379375e-19,1.0427828333243556e-17
CD22,8.606768,1.6608589,7.514959056598245e-18,2.2102820754700718e-16
STAT6,8.424082,,3.635900818616632e-17,1.0099724496157313e-15
CYBB,8.307229,1.2725127,9.796305689443181e-17,2.5779751814324162e-15
CD19,8.029332,1.2812862,9.800486238231935e-16,2.450121559557984e-14
TRAC,7.7644,,8.203275649621793e-15,1.9531608689575697e-13
HLA-B,7.6834607,0.48093265,1.548477078539934e-14,3.51926608759076e-13
CD79B,7.4083037,1.2005162,1.2792526439602154e-13,2.7809840086091638e-12
HLA-DRB1,7.050125,1.4103254,1.7875694161558205e-12,3.724102950324625e-11
TNFRSF13B,6.7984524,1.5461897,1.057490094550606e-11,2.1149801891012118e-10
HLA-DQA1,6.2127376,1.3466828,5.20694158360238e-10,9.298109970718535e-09
CD40,6.1180367,0.93493366,9.473522055294707e-10,1.6333658716025355e-08
CD3E,6.0613565,,1.3497819354928112e-09,2.244981779268981e-08
PTPRC,6.0564146,1.7091004,1.391888703146768e-09,2.244981779268981e-08
JAK1,5.737002,0.8868545,9.636719858136044e-09,1.4171646850200067e-07
HLA-DMA,5.723917,0.76526546,1.0409549239185995e-08,1.466918038615464e-07
CD83,5.716795,1.9025338,1.0855193485754432e-08,1.466918038615464e-07
CD79A,5.4878287,0.2291844,4.0690458154990674e-08,5.354007651972457e-07
STAT5A,5.47118,0.95072025,4.4704863616704964e-08,5.731392771372432e-07
CR2,5.156338,2.1066725,2.51826127506656e-07,3.0710503354470247e-06
BRD4,4.924935,-2.2344885,8.438849217112116e-07,1.0046249067990614e-05
HDAC1,4.6446314,-0.2940522,3.406844057705192e-06,3.961446578726968e-05
NFKB2,4.5454826,0.47953504,5.480952337401756e-06,6.228354928865632e-05
TGFBR2,4.38481,1.2775779,1.1608696428184996e-05,0.0001289855158687
ITGB1,4.31534,-0.21060957,1.593573774988205e-05,0.0001732145407595
CREBBP,4.286232,0.7058922,1.817293230412698e-05,0.0001933290670651
ITGB2,4.234229,0.85244477,2.2933727160200853e-05,0.000238892991252
BCL2,3.9211388,0.6429707,8.813152248452652e-05,0.000864034534162
SOD2,3.7095466,-0.27055842,0.0002076307249651,0.0019964492785105
CXCR5,3.526626,1.4032916,0.0004208905509785,0.0038262777361682
SELL,3.4488142,3.2502718,0.0005630541539985,0.0049390715263034
TGFB1,3.3795705,-1.4663478,0.0007259917921646,0.0060499316013717
ITGA4,3.2551532,0.57414097,0.0011333126118522,0.0089945445385098
PAX5,3.2358112,1.241751,0.0012129755693256,0.0094763716353563
CD2,3.2091618,,0.0013312260696224,0.0102402005355576
TAP2,3.0355766,0.31934717,0.002400762962115,0.0179161415083211
MAML1,2.9743528,0.5755198,0.0029360719125504,0.0212758834242789
ZAP70,2.6327984,-1.0682429,0.0084684582907165,0.0580031389775108
NOTCH1,2.579652,0.8383218,0.0098899889266869,0.0668242495046415
ITGAM,2.4414542,1.2219359,0.0146282445286855,0.0949886008356207
RELA,2.4149382,-1.548342,0.0157378746429101,0.0983871694904211
TP53,2.1475801,3.5933394,0.0317471148240256,0.1912476796628052
FCER2,2.1370935,0.9803666,0.0325903925339972,0.1939904317499834
CD4,2.1161225,2.5445738,0.0343343885770213,0.2019669916295373
TIGIT,2.0659642,,0.0388318569556226,0.2257666102071086
CD5,2.0411975,-1.0864114,0.0412311963479385,0.2342681610678327
MYC,2.0190969,-0.2011173,0.0434771498427262,0.2442536508018329
LGALS9,2.0126133,-0.32173586,0.0441553334870795,0.245307408261553
TAPBP,1.9935935,0.09885384,0.0461965052704713,0.2538269520355567
MYBL2,1.8284158,0.6193427,0.0674871843016925,0.3551957068510133
CD3D,1.794049,,0.0728053381851327,0.3752852483769728
IKBKB,1.7672931,2.3424134,0.0771791608340009,0.3937712287449027
CCR4,1.745921,-1.0418969,0.0808246783729529,0.4041233918647646
TAP1,1.7282956,0.47699815,0.0839352386409788,0.4155209833711825
IFNGR2,1.6620291,-0.10044721,0.0965069293151226,0.4595568062624889
IRF3,1.6461556,0.10563516,0.0997317164239175,0.4704326246411203
CSF3,1.6271386,0.5005657,0.1037076716947061,0.4801281096977138
TRBC1,1.6201473,,0.1052006279112934,0.4825716876664837
IL2RA,1.5908781,1.6512618,0.1116370082852428,0.5073312512327717
GPX3,1.5864929,-2.5462687,0.1126275377736753,0.5073312512327717
HLA-C,1.5751138,-0.003227161,0.1152301858095994,0.5098680788035372
HLA-DPA1,1.5622419,1.084945,0.1182309975889666,0.5137231189820421
LYZ,1.5582088,-1.5557432,0.1191837636038338,0.5137231189820421
CD27,1.5106429,0.008029314,0.1308794661895051,0.549826382501415
TGFBR1,1.5096632,,0.1311293800288414,0.549826382501415
STAP1,1.4584379,0.54890305,0.1447198611945902,0.5788794447783608
NLRC5,1.4403132,0.8386003,0.1497788077901427,0.5943603483735824
CD28,1.4060667,,0.159704344480667,0.6238450956276057
NCR3,1.3480166,0.7139774,0.1776530420630925,0.6885776824150872
IL2RB,1.3396227,-0.824975,0.1803680140083104,0.6926549934914357
CCL5,1.3190503,3.8618748,0.187152307520377,0.7089102557590039
IFNGR1,1.298999,-0.41511467,0.1939442860328648,0.7236727090778537
ITK,1.2806886,-1.6895963,0.2003030537115103,0.7356103115541592
PPARD,1.235153,-1.1710413,0.2167735849909063,0.7780313056296623
BMI1,1.2322686,0.38403577,0.2178487655763055,0.7780313056296623
CTNNB1,1.2182889,-0.10446652,0.2231142079702295,0.7856134083458786
HIF1A,1.1909626,-0.020989578,0.2336682767481612,0.8170219466718927
FOXP3,1.0739648,-1.6218779,0.2828384695321696,0.9427948984405654
MCM6,1.0382692,-0.61621016,0.2991447488021757,0.9628163837453017
ZEB1,1.0380837,0.3579199,0.2992311220038624,0.9628163837453017
DIABLO,1.0321294,-0.6895673,0.3020115201873941,0.9628163837453017
KLRB1,1.0281616,0.7027485,0.3038737850440725,0.9628163837453017
STAT1,1.0273621,0.33856216,0.3042499772635153,0.9628163837453017
MSH6,1.0189273,-0.51548094,0.3082374478725565,0.9642822925902144
CD1C,1.0108473,0.6767842,0.3120894915514955,0.9642822925902144
MMP9,0.9966712,,0.3189241413673242,0.9723296992906229
GATA3,0.96916205,,0.3324643510206112,0.9998475906304526
VEGFB,0.9490234,0.716333,0.3426087096299934,0.9998475906304526
NFKB1,0.94889516,-0.3456747,0.342673942314126,0.9998475906304526
GZMA,0.93327,,0.3506805946305836,0.9998475906304526
MLH1,0.9307867,0.36028555,0.3519638828907911,0.9998475906304526
NFKBIA,0.9117587,-0.022225507,0.361895729364642,0.9998475906304526
CD8A,0.90742266,,0.3641833265634393,0.9998475906304526
HDAC3,0.9045929,1.1065719,0.3656811031107758,0.9998475906304526
SHARPIN,0.9008708,-0.39194778,0.3676570227885002,0.9998475906304526
BAX,0.85943925,-0.1792025,0.3900982265077743,0.9998475906304526
AKT3,0.85671043,0.8227009,0.3916049366949915,0.9998475906304526
TRAT1,0.84308547,,0.3991806415975273,0.9998475906304526
CD86,0.8337775,0.7952704,0.4044063775373296,0.9998475906304526
KRAS,0.7992771,-1.134292,0.4241297357582355,0.9998475906304526
TBK1,0.7812506,-0.9940149,0.4346551173914983,0.9998475906304526
RAF1,0.7728022,0.32354,0.439639450667561,0.9998475906304526
CXCR6,0.75102353,,0.4526384800939582,0.9998475906304526
MCM2,0.74289715,-0.026212703,0.4575439491565371,0.9998475906304526
VCAM1,0.71628034,0.43414074,0.4738182735052072,0.9998475906304526
BST2,0.71081454,0.030865671,0.4771991850846409,0.9998475906304526
CD40LG,0.70891523,-3.9167333,0.4783770637890712,0.9998475906304526
SRPRB,0.65259534,0.44788942,0.5140172054549071,0.9998475906304526
IKZF2,0.64535576,-1.2431171,0.5186966530390035,0.9998475906304526
EPHA4,0.6250916,0.8459674,0.5319109250661346,0.9998475906304526
ICOSLG,0.6199969,0.5070473,0.5352598065291536,0.9998475906304526
MMRN1,0.60914993,0.76195,0.542425080793661,0.9998475906304526
CSF1R,0.58280593,-2.284098,0.5600239337884125,0.9998475906304526
ZBED2,0.569724,0.6282561,0.568864885987992,0.9998475906304526
ATM,0.56307936,0.35596615,0.5733808331496533,0.9998475906304526
AXIN2,0.5486249,1.1865261,0.5832629199328376,0.9998475906304526
KLRG1,0.53105134,3.3044927,0.5953832198567591,0.9998475906304526
MAP2K1,0.5309667,-0.004588755,0.5954418399074896,0.9998475906304526
CDK2,0.5288492,0.453044,0.5969100892653973,0.9998475906304526
CTLA4,0.52800596,-1.6808691,0.5974951983483054,0.9998475906304526
SELP,0.52732104,-0.033377204,0.5979706729316855,0.9998475906304526
IFITM1,0.5249251,-1.6710349,0.5996352370172886,0.9998475906304526
RORC,0.5212467,-0.4032148,0.6021949293063417,0.9998475906304526
PRKCA,0.5195139,-1.0428759,0.6034024227625585,0.9998475906304526
RGMB,0.51726264,-0.152163,0.6049728373326377,0.9998475906304526
EPHB4,0.50430626,-0.018587321,0.6140461989437322,0.9998475906304526
GNLY,0.49320814,1.2142062,0.6218655165494584,0.9998475906304526
PCNA,0.49185467,-0.012791471,0.6228220896009244,0.9998475906304526
MSH2,0.4844132,-1.1917497,0.6280926561704998,0.9998475906304526
TNFRSF18,0.48145244,1.1096331,0.6301949783652036,0.9998475906304526
STAT4,0.47648054,0.17031567,0.63373206867564,0.9998475906304526
RB1,0.47296584,5.7828245,0.6362375580225245,0.9998475906304526
C1QC,0.4623071,0.37828082,0.6438611152600598,0.9998475906304526
CCL3,0.45358035,2.0311632,0.6501308983943931,0.9998475906304526
CD80,0.44843927,0.80479866,0.6538362059254353,0.9998475906304526
STING1,0.44711307,-0.074340865,0.6547934244436113,0.9998475906304526
CD70,0.44164997,0.28785783,0.6587425062488512,0.9998475906304526
TNFRSF4,0.43227106,1.7251871,0.6655444176989981,0.9998475906304526
CD3G,0.41410264,1.9343114,0.6787989450420068,0.9998475906304526
CXCL11,0.40849766,0.99989575,0.6829083531504467,0.9998475906304526
IFNG,0.39455616,,0.6931704773535944,0.9998475906304526
ICAM1,0.37666333,0.17497654,0.7064238130680927,0.9998475906304526
PIK3CA,0.37557182,-2.07109,0.7072352504132284,0.9998475906304526
KLF2,0.37440935,0.52259487,0.7080997970220059,0.9998475906304526
CCR8,0.36821768,-2.628709,0.712710940439891,0.9998475906304526
MUC4,0.3664876,2.5193615,0.7140012658924942,0.9998475906304526
EOMES,0.36556527,,0.7146895027698598,0.9998475906304526
ICOS,0.36220065,0.8419527,0.7172021058538137,0.9998475906304526
BUB1,0.35107526,-0.67250544,0.7255318812599402,0.9998475906304526
TBX21,0.34330088,0.12601636,0.7313721157349774,0.9998475906304526
IL6,0.33833718,1.3885664,0.7351091117045138,0.9998475906304526
FBLN1,0.33742303,0.28448412,0.7357980308443881,0.9998475906304526
IL12A,0.33503532,-0.09459709,0.737598447755063,0.9998475906304526
TCL1A,0.33475152,0.7020607,0.7378125361481859,0.9998475906304526
FCER1A,0.33352083,0.6941028,0.7387411738530316,0.9998475906304526
AURKB,0.32978508,,0.7415623618564509,0.9998475906304526
CCL17,0.325771,0.5715431,0.7445976231261671,0.9998475906304526
SLC13A3,0.32361522,,0.7462293511138602,0.9998475906304526
CCR10,0.29944068,0.059327755,0.7646038165594833,0.9998475906304526
PROK2,0.2991023,-0.008400301,0.7648619753154904,0.9998475906304526
SMAD2,0.27383626,-0.015554635,0.7842104617246878,0.9998475906304526
KLRK1,0.2690772,1.1002269,0.7878702707186748,0.9998475906304526
PMS2,0.26546973,0.9146514,0.7906476355386424,0.9998475906304526
ATR,0.2585467,,0.7959849955593311,0.9998475906304526
PRF1,0.25796276,-1.9610928,0.7964356510334338,0.9998475906304526
IGF1R,0.2568003,-0.02558879,0.7973329522013284,0.9998475906304526
CXCL16,0.2564237,-0.23142369,0.7976236847323772,0.9998475906304526
CLEC4C,0.23706278,2.8224933,0.8126080810398973,0.9998475906304526
PDCD1,0.23511168,0.3545932,0.814122048114598,0.9998475906304526
CXCR3,0.2296377,-0.043188386,0.8183733165585811,0.9998475906304526
WNT3A,0.22857891,,0.8191962167127061,0.9998475906304526
PGLYRP1,0.22814776,1.9782219,0.819531372347207,0.9998475906304526
BRAF,0.22684611,0.15490478,0.8205434027391406,0.9998475906304526
ITGAX,0.22060533,0.051142592,0.8253997553274277,0.9998475906304526
CXCL9,0.2191645,0.42312622,0.8265218993029284,0.9998475906304526
VTN,0.21309836,,0.8312502415258486,0.9998475906304526
MARCO,0.21081434,6.3117323,0.833032142435086,0.9998475906304526
FGF1,0.2065192,0.8478067,0.8363853701841014,0.9998475906304526
AKT2,0.2021531,0.15362762,0.8397970375066283,0.9998475906304526
CTSW,0.19729854,-0.3972117,0.8435939193010046,0.9998475906304526
DDIT3,0.19419861,-0.52366513,0.8460203687765075,0.9998475906304526
CD226,0.19378111,0.93798184,0.8463472826547978,0.9998475906304526
CXCL12,0.19262409,-0.39455298,0.84725337811521,0.9998475906304526
BRCA1,0.18976974,-0.7762132,0.8494895597696366,0.9998475906304526
BTLA,0.1859194,,0.8525079696713705,0.9998475906304526
FLT1,0.1855974,0.73071194,0.8527604937018353,0.9998475906304526
CASP8,0.1711347,0.31983608,0.8641178542972209,0.9998475906304526
CSF2RA,0.1696202,-0.17066766,0.8653088305953462,0.9998475906304526
IGF1,0.16455281,0.42644608,0.8692959825399023,0.9998475906304526
FAP,0.16385423,0.13680916,0.8698459014949423,0.9998475906304526
CCL2,0.16301921,0.14669397,0.8705033090664409,0.9998475906304526
NFE2L2,0.15839387,0.003391318,0.8741464400103901,0.9998475906304526
CHEK2,0.14757141,0.7826179,0.8826810213698099,0.9998475906304526
ESCO2,0.14107138,-0.044238538,0.8878135543738997,0.9998475906304526
TNFRSF9,0.14063478,-0.1723315,0.8881584800280826,0.9998475906304526
KLRF1,0.13511711,-0.12751852,0.8925192815430675,0.9998475906304526
IFNAR1,0.13087381,-0.12511458,0.8958751339133099,0.9998475906304526
PREX2,0.13026528,-0.09866772,0.8963565454252065,0.9998475906304526
IRF5,0.1300306,0.10097849,0.8965422120889599,0.9998475906304526
SMO,0.12987779,0.06111504,0.8966631143583412,0.9998475906304526
IL10,0.12724176,0.32604963,0.8987490538468507,0.9998475906304526
XCL1,0.119418256,-0.14322016,0.9049439974733507,0.9998475906304526
CXCL10,0.1183049,-1.3931344,0.9058260732538684,0.9998475906304526
IL21,0.117366195,1.2560146,0.9065698745309858,0.9998475906304526
CCL4,0.11564158,0.022647772,0.9079366062736542,0.9998475906304526
IKZF4,0.10427062,0.3608192,0.9169545897096703,0.9998475906304526
CXCL5,0.103274606,-0.2959021,0.9177450281823408,0.9998475906304526
DKK1,0.09768873,-0.3113545,0.9221794650017358,0.9998475906304526
FASLG,0.09253673,-0.027528733,0.9262716073779133,0.9998475906304526
TNFSF4,0.08855812,1.0346463,0.9294330879277176,0.9998475906304526
PTGDR2,0.08784863,0.38848132,0.9299969820894632,0.9998475906304526
ROR1,0.07976044,-0.35266936,0.9364277906985304,0.9998475906304526
TGM2,0.07872622,0.24180679,0.937250391716834,0.9998475906304526
TCF7L2,0.07657864,0.0030822374,0.9389587497827224,0.9998475906304526
CD1B,0.074441984,,0.9406587038127971,0.9998475906304526
CCL28,0.07072261,0.07467125,0.9436185235584046,0.9998475906304526
TBX3,0.06951648,-0.02778962,0.9445785168838784,0.9998475906304526
GZMH,0.069000736,0.41682634,0.9449890364172884,0.9998475906304526
CLCA1,0.06725429,-2.1969273,0.9463792633256431,0.9998475906304526
ELANE,0.06699233,-0.23744255,0.9465878115496316,0.9998475906304526
PTEN,0.0617994,-0.5921981,0.9507225825294272,0.9998475906304526
MYH11,0.05722045,-0.9787535,0.9543695861598293,0.9998475906304526
CCR6,0.05126073,0.07360887,0.9591177616971964,0.9998475906304526
HGF,0.050513033,0.14165151,0.9597135635983592,0.9998475906304526
LGR6,0.043284412,-0.02634155,0.9654748177067788,0.9998475906304526
COL6A3,0.0418627,-0.06123506,0.9666081512297116,0.9998475906304526
CCL11,0.034844197,-0.6267263,0.972203978271109,0.9998475906304526
CD274,0.03460133,-0.4892191,0.972397639118039,0.9998475906304526
TNFSF10,0.03408286,-0.004779533,0.9728110778179508,0.9998475906304526
APC,0.031495944,0.14924125,0.9748740262922588,0.9998475906304526
CEACAM1,0.03128037,0.1908204,0.9750459464427536,0.9998475906304526
STAT3,0.03123398,0.41090977,0.9750829420700278,0.9998475906304526
RET,0.02636305,-3.0849843,0.9789677658962812,0.9998475906304526
CHEK1,0.02613383,-0.07287122,0.9791505941470428,0.9998475906304526
PDGFA,0.02436283,-0.077482246,0.9805631962311976,0.9998475906304526
FGFR1,0.019625613,0.024397098,0.9843420309781196,0.9998475906304526
KIR2DL4,0.015046667,0.13981043,0.9879949491567926,0.9998475906304526
CD244,0.012470669,0.15371236,0.9900501032827648,0.9998475906304526
CD163,0.011799382,-0.76323056,0.990585673910882,0.9998475906304526
TNFSF9,0.007160402,-0.17522857,0.9942868747039284,0.9998475906304526
TLR2,0.0037575737,0.07477264,0.997001897010319,0.9998475906304526
CCNB1,0.001667304,-0.033152442,0.9986696845397905,0.9998475906304526
CXCL2,0.0008868638,0.15801369,0.9992923851584155,0.9998475906304526
IL4,-0.00019101682,0.6290886,0.9998475906304526,0.9998475906304526
IL3RA,-0.0059760977,,0.995231792362654,0.9998475906304526
CCL22,-0.011201772,-0.11119028,0.9910624659736184,0.9998475906304526
NOS3,-0.01607816,0.07287665,0.9871720382486052,0.9998475906304526
CD209,-0.016230972,-1.2432795,0.9870501266610144,0.9998475906304526
IL13,-0.029711302,0.16251594,0.97629729841761,0.9998475906304526
PLOD2,-0.033084113,0.009380407,0.9736075118088764,0.9998475906304526
TLR1,-0.03322874,-0.1326066,0.973492179555364,0.9998475906304526
CEACAM8,-0.036369603,4.6763945,0.970987652006746,0.9998475906304526
TNF,-0.03924031,-0.12621081,0.968698793901051,0.9998475906304526
CCR5,-0.040675666,0.014754508,0.9675544603535708,0.9998475906304526
PRTN3,-0.0428478,0.4415708,0.9658228590753518,0.9998475906304526
NCR1,-0.043759223,-0.02487538,0.9650963301864692,0.9998475906304526
DUSP6,-0.049339645,-0.19561107,0.9606486264211426,0.9998475906304526
KDR,-0.05283252,0.04639975,0.9578653478852324,0.9998475906304526
IL17A,-0.056958485,0.7261119,0.9545782643844009,0.9998475906304526
FGFBP2,-0.058320165,0.1677323,0.9534936066563168,0.9998475906304526
TBX10,-0.05998474,-2.1575456,0.9521677895647348,0.9998475906304526
CD177,-0.063444875,3.1887856,0.9494122565771076,0.9998475906304526
EPHA2,-0.064359024,0.00568118,0.9486843565939104,0.9998475906304526
CTSG,-0.066446565,-0.017036855,0.947022298754932,0.9998475906304526
MRC1,-0.06673582,0.56217337,0.9467920185654612,0.9998475906304526
ROS1,-0.076185696,-0.068255775,0.939271364363586,0.9998475906304526
CCL8,-0.07851064,-0.4045034,0.937421865829248,0.9998475906304526
TSC2,-0.07957761,-2.1616611,0.936573206018936,0.9998475906304526
IL4I1,-0.08054906,0.06813215,0.9358005758420612,0.9998475906304526
E2F1,-0.080742806,4.777432,0.9356464910764056,0.9998475906304526
EGF,-0.08111939,-0.7076741,0.9353470092777124,0.9998475906304526
PROX1,-0.08347981,-0.0088834185,0.9334700327150002,0.9998475906304526
IL6R,-0.085687414,0.015883604,0.9317149058744156,0.9998475906304526
MSR1,-0.0869263,-1.3850988,0.9307300970029644,0.9998475906304526
AMOTL2,-0.087657616,-0.058141626,0.9301488057653295,0.9998475906304526
KIT,-0.09613058,-0.0755273,0.9234168657085144,0.9998475906304526
CX3CL1,-0.09659175,0.014523821,0.9230506103266838,0.9998475906304526
IL12RB2,-0.09722756,0.6212907,0.9225456814496952,0.9998475906304526
CCL7,-0.10350383,-2.3704133,0.9175631118230893,0.9998475906304526
KIR3DL2,-0.10398956,,0.917177636669732,0.9998475906304526
LEF1,-0.10617261,-0.18477893,0.9154454057600984,0.9998475906304526
GZMK,-0.10619989,-0.2153761,0.9154237553971528,0.9998475906304526
WNT3,-0.108568504,0.12120325,0.9135447447120552,0.9998475906304526
CD160,-0.1117503,0.0382861,0.911021398178692,0.9998475906304526
MFAP5,-0.1129537,,0.9100672602738602,0.9998475906304526
CDCA7,-0.113335736,0.09759799,0.90976438640689,0.9998475906304526
CCR1,-0.11467831,,0.9087001054130528,0.9998475906304526
FLT4,-0.118646,0.10974793,0.9055558170529412,0.9998475906304526
KLRC1,-0.11938006,-0.4714769,0.9049742628427792,0.9998475906304526
SH2D1B,-0.12609565,-2.3111768,0.8996562031618752,0.9998475906304526
