"","logFC","logCPM","PValue","FDR"
"Q3TXX4",-1.69856075326631,4.51802572550187,6.61110702236352e-09,0.000106886554457761
"P32299",-1.43780823961211,2.46536403163747,1.4980636294547e-08,0.000106886554457761
"ENSMUST00000123117.2",-1.3602528899154,3.22487682734923,1.61810396817521e-08,0.000106886554457761
"O55188",-1.27243007850252,4.27288098225852,2.27115779600827e-07,0.0011251883510874
"Q91Y82",-1.42459276717897,2.58108834180164,3.48133167291809e-07,0.00137979099524435
"P01027",-2.13727357737807,2.24808230222127,2.43072366540373e-06,0.00802827514621761
"P01029",-1.48044449829886,6.44847652712795,2.85644735142738e-06,0.0080866024518909
"D3Z079",-1.24224288341838,2.05281820746518,3.95770757893317e-06,0.00980373638646482
"Q149C3",-1.40724059326657,2.13958293494729,4.8483590778069e-06,0.0106755479827666
"Q91XL1",-1.27024587695057,1.70900531524122,8.11686458585389e-06,0.0160851905497866
"Q80U78",-1.23002334011974,2.44706224552616,9.00177230355223e-06,0.0162171019763177
"A0A1D5RLK9",-1.731267364727,0.767992820122717,1.28579933981688e-05,0.0211074057859992
"G3X8T9",-1.35073228691095,5.2972076593507,1.38465093211884e-05,0.0211074057859992
"Q9QXH4",-2.08695596466832,0.306001926907795,1.79619033353092e-05,0.0254250741711302
"ENSMUST00000208263.2",1.79324774865406,1.22555428077507,1.98863618177896e-05,0.0262725354762091
"Q91VU8",-1.05497003275635,2.99180104520089,2.34224639284425e-05,0.0290101854793715
"Q64455",-1.35342506573714,1.61944175514344,2.78911129567004e-05,0.0323298966149921
"A0A494BAD9",-1.82434174413821,0.540255435807646,2.93656022137487e-05,0.0323298966149921
"Q99P91",-1.47067535453651,0.859486140163693,3.27642256085604e-05,0.0341730873097285
"Q9CXP8",1.43424649033422,3.61275922664208,5.65418030877205e-05,0.0560244455894679
"ENSMUST00000196922.2",-1.274809344531,1.27685737402152,7.13226000564657e-05,0.063130510746492
"Q8C8C1",-1.77661069621176,1.08889534385146,7.25789688381048e-05,0.063130510746492
"ENSMUST00000225910.2",1.15990010303033,4.06137353937917,7.41935428752673e-05,0.063130510746492
"D3YV17",-1.63218266432499,0.574881535944793,8.22858320987299e-05,0.063130510746492
"ENSMUST00000140330.2",1.42131777331125,2.77925347478351,8.23560857105884e-05,0.063130510746492
"Q8VD53",-1.29703930800624,5.04288625391529,8.67256612946093e-05,0.063130510746492
"ENSMUST00000149527.2",-1.62700527089534,1.13849338671106,8.78136698942413e-05,0.063130510746492
"O35608",-1.3739981599128,1.89120824648889,8.93628841993163e-05,0.063130510746492
"ENSMUST00000187855.2",-1.51506917985025,1.05682180927123,9.23845593000084e-05,0.063130510746492
"M0QWC9",1.16553927317975,2.59263185433728,9.98676407326997e-05,0.0659692345466637
"ENSMUST00000145844.3",1.74715289876772,0.81132515363949,0.000117470752108664,0.0719742277930134
"B2RQX9",-2.87464504009924,2.86054270281869,0.000119963761079889,0.0719742277930134
"ENSMUST00000249322.1",1.22324026876452,2.14753619445486,0.000120936055734152,0.0719742277930134
"ENSMUST00000221429.2",1.50931801017178,3.21213263336155,0.000132284952935766,0.0719742277930134
"ENSMUST00000196827.2",1.71280118700114,0.468259553320225,0.000135858626136513,0.0719742277930134
"ENSMUST00000152968.2",-2.0121549186388,0.390441044682379,0.000136258655314331,0.0719742277930134
"A2A8R0",-1.15653867693789,1.80840865784228,0.00013678817548717,0.0719742277930134
"ENSMUST00000122170.2",1.508954447038,2.78810371293726,0.000139080854221514,0.0719742277930134
"P52187",-1.7394244065925,0.559653485101057,0.000143556182421957,0.0719742277930134
"Q9ERK0",-1.18096281943996,1.53715754222443,0.00014527774697081,0.0719742277930134
"D6RI59",1.29474582444209,1.83678272049659,0.00014910383988781,0.0720680681721155
"ENSMUST00000142292.8",-1.02359072295436,2.77548064576146,0.000166504465411586,0.0785623569300333
"ENSMUST00000128545.3",-0.837136055591664,3.24833867746048,0.000206901739020993,0.0944616596634195
"G3UW46",1.06928591830454,1.75310258612004,0.000209734723983976,0.0944616596634195
"Q7JCZ1",1.19603622707384,3.91754579226365,0.000242976283959507,0.10700135598279
"Q91Y12",-1.40979758777935,1.13855779750474,0.000252020889388669,0.108571694891636
"Q60772",1.25661213737601,2.34562155422805,0.000273972211860416,0.113311730533289
"ENSMUST00000203367.2",-1.94642524184666,0.325227662695321,0.000276446242007435,0.113311730533289
"ENSMUST00000190491.2",-1.42244261820023,2.17632029118652,0.000293958714620165,0.113311730533289
"Q9Z103",-1.50659088528521,0.832601566411005,0.000294053169700293,0.113311730533289
"ENSMUST00000202900.2",1.27549082185718,1.98450483728913,0.000297973226451264,0.113311730533289
"Q08642",-0.777203543743999,6.1857419958608,0.000315246063630316,0.113311730533289
"ENSMUST00000118217.2",1.58593941037107,0.84990591908637,0.00031524912832707,0.113311730533289
"ENSMUST00000159255.2",1.69574785490748,0.850293094157124,0.000327004847285485,0.113311730533289
"Q91XZ6",-1.4249500981075,2.92288595650439,0.000334424445389214,0.113311730533289
"ENSMUST00000212336.2",1.43018009324028,0.823294699226563,0.000337327774877314,0.113311730533289
"ENSMUST00000118448.2",1.20133890291508,3.4852791576551,0.00036134222612791,0.113311730533289
"ENSMUST00000150069.3",1.15892781893111,1.69311508916726,0.000366477584864186,0.113311730533289
"E9Q5G2",-1.11340041852678,5.21144301379847,0.00037252759435792,0.113311730533289
"Q8BRK9",-1.79795289133797,0.963424320530546,0.000375985755860916,0.113311730533289
"Q8VD73",-0.926239624198473,4.44544034327899,0.000379249362928919,0.113311730533289
"ENSMUST00000199279.2",1.42558253253641,1.70122516765848,0.000379857744906322,0.113311730533289
"ENSMUST00000193015.2",-1.11584269947136,3.63869733240812,0.000381673779548925,0.113311730533289
"ENSMUST00000215678.2",1.57060005171793,1.0527590517732,0.000384000270027412,0.113311730533289
"Q9CQE5",0.99882519248465,2.5441356084398,0.00038952574270339,0.113311730533289
"Q91V14",-1.27570416745285,1.21826751123196,0.00039320432535679,0.113311730533289
"ENSMUST00000185486.3",-1.19576211510963,1.46154066891804,0.000403156419965636,0.113311730533289
"ENSMUST00000057889.8",-1.45559395025465,0.534131964012506,0.000405235337959634,0.113311730533289
"Q3UVX5",-1.06079798871944,1.7516751600987,0.000414804324323473,0.113311730533289
"ENSMUST00000120782.2",-1.66035519210193,0.43651018927531,0.000420669600881019,0.113311730533289
"ENSMUST00000077389.8",1.5597924441539,1.16021545256904,0.000420986839095282,0.113311730533289
"ENSMUST00000127966.8",1.18627065588998,1.96048933817435,0.000429457136282601,0.113311730533289
"ENSMUST00000149371.2",0.975659589330167,1.706091392837,0.000432141365400407,0.113311730533289
"Q9JIC0",0.959076391051174,3.25679365652347,0.000433870352525195,0.113311730533289
"ENSMUST00000166606.3",-0.899633346815381,3.73327625805664,0.000433885300012187,0.113311730533289
"Q09M02",0.873504113778635,4.28737966363363,0.000434560807414339,0.113311730533289
"ENSMUST00000125693.8",0.897084649197291,2.85452429422898,0.000442717559874205,0.11354821565275
"Q8CJF7",-0.89365810185505,5.07208134442195,0.000447499724972228,0.11354821565275
"ENSMUST00000245942.1",-1.37786598899916,0.855644066261132,0.000459022164874331,0.11354821565275
"ENSMUST00000142276.2",1.12228806944124,1.51661726036836,0.000465574677901782,0.11354821565275
"E9Q3K3",-0.991316739329243,3.00715732669245,0.000468873330935543,0.11354821565275
"ENSMUST00000223609.2",-1.04278183555431,3.6546451566539,0.000469846782233714,0.11354821565275
"ENSMUST00000233314.3",1.27252853190398,2.10567202083272,0.000489314254958295,0.116828199885645
"ENSMUST00000223513.2",1.0702900397277,1.67060888007949,0.000502650705438686,0.118583678924743
"ENSMUST00000236663.2",1.39950951380932,1.08696462720112,0.000512486138838591,0.119481621333698
"ENSMUST00000050139.5",-0.953295070807606,2.26342387968544,0.000526638003016411,0.121353317509026
"G3UZ80",1.21574670937901,1.68560990264617,0.000540824849518196,0.123189954516116
"ENSMUST00000117527.2",1.39500722357065,3.95398178785673,0.000565259048833605,0.123737709583776
"A0A338P6N4",-0.924708029085114,4.04692577458819,0.000566508044735436,0.123737709583776
"G3X9K8",1.3771288571054,1.84184742744146,0.000571313088853299,0.123737709583776
"A0A140LI06",0.840463912656346,2.72871166446737,0.000573074800202882,0.123737709583776
"ENSMUST00000139580.3",1.15331895682372,1.12968507566076,0.000581497338320192,0.123737709583776
"ENSMUST00000180770.3",-1.35009914958031,0.838285022748742,0.000583091027697107,0.123737709583776
"ENSMUST00000147471.2",1.32866096697434,0.880609884938412,0.000590639251080461,0.123737709583776
"P17879",-1.179304319948,2.76978160897407,0.000593181733383394,0.123737709583776
"ENSMUST00000236184.2",1.06505388420815,2.16571597339051,0.000607737792261173,0.124300802816153
"ENSMUST00000173680.2",-1.34133801888145,1.21328646972021,0.000608425991480389,0.124300802816153
"ENSMUST00000161569.2",1.12387108850315,1.02038401364023,0.000626123712509846,0.125502663231269
"ENSMUST00000061241.8",1.01038604672394,3.20788844566486,0.000634418901634677,0.125502663231269
"Q91VE5",-0.993360883072869,3.15281048808103,0.000649284087420872,0.125502663231269
"ENSMUST00000178343.2",-0.992786625637322,5.84384401338687,0.000655049911643822,0.125502663231269
"ENSMUST00000224009.2",-1.240266072665,1.94036688789127,0.000669126320587278,0.125502663231269
"ENSMUST00000235294.2",1.25838830092048,1.6219306176757,0.000685140283643566,0.125502663231269
"Q9QY93",1.0099815392025,4.29839114581862,0.000698116712592605,0.125502663231269
"E9QN37",-0.712452373165751,6.62745318976751,0.000704022996288491,0.125502663231269
"B2RVA4",1.58544654961072,1.76110187941026,0.00070610192300182,0.125502663231269
"ENSMUST00000215402.2",1.19892350725404,1.52273212285017,0.000725388397701237,0.125502663231269
"Q1WWJ5",1.22043811217127,1.80198755089236,0.00073186793411284,0.125502663231269
"ENSMUST00000162186.2",-1.26664508774677,2.05716531276043,0.000736115231243207,0.125502663231269
"ENSMUST00000212147.2",1.18022208891438,1.97606757928553,0.000737718593801261,0.125502663231269
"ENSMUST00000209601.2",1.03828267323263,1.95383867655672,0.000742790801925281,0.125502663231269
"Q6IQX7",-1.10039187351222,1.18636153465508,0.000748155642677759,0.125502663231269
"Q9JMF3",1.21165397141889,5.69503625843422,0.000753181338702928,0.125502663231269
"ENSMUST00000175086.3",1.4352276869955,2.37636305854004,0.000753380573092156,0.125502663231269
"ENSMUST00000212383.2",1.47939105661488,1.42756197634263,0.000757498643055628,0.125502663231269
"ENSMUST00000241584.1",1.47688940689843,0.663230962196962,0.000759561022111918,0.125502663231269
"P21460",0.831544039248434,8.4599670065405,0.000764455523641356,0.125502663231269
"ENSMUST00000139298.2",1.45408740072486,0.642176098340368,0.000766950635776572,0.125502663231269
"P29268",-1.24040389418351,2.40888968344846,0.00077031038840538,0.125502663231269
"Q8BWR8",-0.85634248924771,4.36242688938375,0.000770667862011764,0.125502663231269
"ENSMUST00000199664.3",1.01001602562733,1.84863177250406,0.000776494331509545,0.125502663231269
"Q3URE8",0.983507155535671,2.2369062813424,0.000783795919304108,0.125502663231269
"ENSMUST00000202865.2",-1.11005308187213,1.26597420599235,0.000796161749792606,0.125502663231269
"ENSMUST00000206973.2",1.52680033124943,0.919474205923258,0.000803483643902008,0.125502663231269
"ENSMUST00000140930.2",1.19008204342541,1.06880456374004,0.000811563493299215,0.125502663231269
"Q3UAD6",-1.01040304003857,5.30614206563505,0.000816729763430339,0.125502663231269
"Q921I1",-0.887438076588808,5.25629791513464,0.000818459810923506,0.125502663231269
"ENSMUST00000082403.1",1.47344232300265,2.76529406592548,0.000822684815904869,0.125502663231269
"ENSMUST00000236904.2",1.06575769920342,1.68451442330114,0.000823819170445566,0.125502663231269
"ENSMUST00000232156.2",1.25278970766063,1.27773245129515,0.000824918185996723,0.125502663231269
"ENSMUST00000180519.2",1.43972637383798,1.12491402086814,0.00083163214893679,0.125502663231269
"ENSMUST00000125707.2",1.50744824045248,0.682625043025908,0.000835966672378638,0.125502663231269
"ENSMUST00000171976.2",1.26425025970655,1.51049461802257,0.000849665455717138,0.126600152901854
"ENSMUST00000189942.2",1.14191720589189,1.48903543504563,0.000862140610574313,0.127500302087695
"Q9CQC7",1.10365893421286,1.10087780536212,0.00088323410406363,0.128831162109369
"ENSMUST00000117608.2",1.22140983892785,4.79149878046454,0.000884141799811987,0.128831162109369
"Q3TYK3",-0.879634396770702,2.16810918915399,0.000907417895607406,0.130187504262785
"Q08EE8",1.65976529624952,0.802263717090966,0.000911360805772032,0.130187504262785
"ENSMUST00000135637.2",0.844737484156384,2.28293496691152,0.000914369596537781,0.130187504262785
"ENSMUST00000133492.2",-1.21485680254722,0.694931573529006,0.000920271944148873,0.130187504262785
"ENSMUST00000160229.2",-1.48996640391962,0.496731894487937,0.000928578450789708,0.130187504262785
