group,names,scores,logfoldchanges,pvals,pvals_adj,-log10(pvals_adj)
in,CCR7,28.364552,1.6121659,5.5372833058987833403e-177,2.7686416529493917719e-174,173.55773325162812576
in,ETS1,26.217955,1.0593631,1.6588321053027267632e-151,4.1470802632568164467e-149,148.38225755914955573
in,CXCR4,20.578241,0.586249,4.3000846240930624885e-94,4.3000846240930621692e-92,91.36652299757971119
in,ZAP70,18.769413,0.8813109,1.3436408103468752743e-78,9.597434359620537879e-77,76.01784484949991156
in,CD3E,16.633825,0.8364709,3.964549997109317875e-62,2.4778437481933235424e-60,59.60592608352774054
in,TRAC,13.231385,0.6179385,5.7811622740458112515e-40,2.6278010336571871282e-38,37.58040752086872213
in,ITK,12.892602,0.94292027,4.954376180702856509e-38,1.9055293002703294168e-36,35.719984368934380455
in,HLA-B,12.367231,0.42334235,3.9314054737368249736e-35,1.3104684912456084386e-33,32.88257341671865642
in,PTPRC,12.019243,0.82149243,2.8153722585965581808e-33,8.280506642931052829e-32,31.08194309008736907
in,XBP1,11.572129,,5.70490868188116299e-31,1.5846968560781008402e-29,28.800053803682206532
in,CD28,10.335505,0.858811,4.868422658276077859e-25,1.2171056645690195107e-23,22.914671716307962136
in,CREBBP,9.8083315,1.0508856,1.03668033630278156695e-22,2.253652905006046809e-21,20.647112970742507775
in,TGFBR2,9.660965,0.7222706,4.4168540830423413343e-22,8.83370816608468154e-21,20.053856952366803499
in,HLA-C,9.611188,0.48319682,7.171652813069284342e-22,1.3280838542720896442e-20,19.876774503056900075
in,ITGB1,9.049471,-0.8745336,1.436623680544922912e-19,2.5653994295445049661e-18,17.590845006169377428
in,CD4,8.991164,0.59409523,2.4462445438960234873e-19,4.2176630067172814363e-18,17.374928123546237833
in,STAT6,8.867994,0.93494314,7.447528316977048328e-19,1.1965819199459356739e-17,16.922057563525590066
in,JAK1,8.743935,0.5596177,2.2513014049231539158e-18,3.4110627347320512942e-17,16.467110293170319019
in,IL6R,8.004718,0.92945886,1.1974124992684837699e-15,1.6181249990114647521e-14,13.790987932486369339
in,KLF2,7.9264336,1.0637958,2.2552935206281618212e-15,2.9674914745107391554e-14,13.527610520082978645
in,CD79A,7.47211,2.2418494,7.8918995439535503635e-14,9.624267736528718761e-13,12.016632303905985003
in,CD5,7.410715,0.47911966,1.256199650175360865e-13,1.4954757740182866502e-12,11.825220617935501946
in,TAPBP,7.397226,0.5571217,1.3905871235438753968e-13,1.6169617715626459394e-12,11.791300247623376991
in,SELL,7.3746996,1.3597537,1.6471585997896030173e-13,1.8717711361245489521e-12,11.727747254099250967
in,CD40LG,7.1841297,1.0137951,6.7636592291440478805e-13,7.5151769212711640425e-12,11.124060790855202085
in,IRF3,6.875059,0.62863255,6.196414978918731289e-12,6.5919308286369480356e-11,10.180987358486136692
in,ICAM2,6.592096,0.7069967,4.3366110980447413517e-11,4.3366110980447410932e-10,9.362849523100540672
in,CD2,6.498274,0.39930472,8.124683855285446089e-11,7.812196014697544615e-10,9.107226868426485056
in,MAML1,6.404433,0.8485019,1.5092926375860334316e-10,1.4238609788547484911e-09,8.846532411726984263
in,MZB1,6.3332977,2.581854,2.3997557792129878078e-10,2.1815961629208978379e-09,8.661225638920362254
in,TRAT1,6.1288404,0.89931333,8.852188126726122281e-10,7.903739398862608936e-09,8.102167387689376395
in,VSIR,5.8788023,0.69071615,4.132449753254363094e-09,3.443708127711969493e-08,7.462973664389022962
in,CDKN1B,5.8235636,0.44898665,5.760586193683699183e-09,4.7217919620358192575e-08,7.3258931514652980647
in,PRKCA,5.66253,1.0155331,1.4915722265916302623e-08,1.16529080202471112585e-07,6.933565681543671848
in,STAT5A,5.658016,0.45975184,1.5313258306005990501e-08,1.17794294661584543333e-07,6.9288757439886116143
in,CD3D,5.5331354,0.39414066,3.1455657026643448238e-08,2.3129159578414299163e-07,6.6358401474753041537
in,ITGA4,4.993368,0.7095175,5.933531304536266167e-07,4.120507850372407431e-06,5.3850492541071399944
in,TNFRSF13C,4.704638,1.5247033,2.5431649665585134397e-06,1.6302339529221240237e-05,4.787750066042552978
in,ICAM3,4.5654516,0.35945338,4.984198592036685464e-06,3.1151241200229284575e-05,4.5065246444888757186
in,STAT4,4.562723,0.58779174,5.049434021223201599e-06,3.116934581001976534e-05,4.5062723127080818266
in,TRBC1,4.525762,0.51881117,6.0178251005926869537e-06,3.6135743429480864184e-05,4.442063006007550401
in,MYC,4.4416876,-1.8373197,8.925606998717340251e-06,5.250357058069023478e-05,4.2798111607700138753
in,ITGA5,4.3743587,0.6239494,1.2179006183515247465e-05,6.999428841100717479e-05,4.154937397311251438
in,PPARD,4.2210937,1.9351764,2.4311998048697850143e-05,0.00013070966692848307316,3.8836922920028820155
in,TAP2,4.198468,0.3082694,2.687264435398540368e-05,0.00014293959762758193808,3.8448474447643521505
in,IKBKB,4.0681877,0.546731,4.7380235824286270354e-05,0.00024173589706268504176,3.616658853362905257
in,GATA3,3.9682024,0.35745117,7.2416828054483494467e-05,0.00035849914878457171024,3.445511871177777436
in,AKT3,3.7009423,0.63671356,0.00021480039534527050802,0.0010132094120059930657,2.9943007845711057291
in,BRD4,3.0955818,,0.0019642720654730392964,0.008540313328143648436,2.068526195565376521
in,PECAM1,3.0669277,,0.0021627124257376033854,0.009242360793750441922,2.0342170819462343358
in,NFKB2,3.0564597,0.27112725,0.0022396755398925772586,0.009490150592765159154,2.0227268959933592213
in,KLRB1,2.9604726,0.58393216,0.003071673622763521766,0.01269286620976661957,1.896440297642757202
in,CCR4,2.9246225,0.20800653,0.0034487418587954583177,0.014134187945883025864,1.8497291380589922111
in,POU2AF1,2.8914402,10.390389,0.0038348070810049145543,0.0152174884166861694446,1.8176570201529854003
in,NFKB1,2.880276,0.68949926,0.00397327352328319134,0.0156428091467842173,1.8056852533607792106
in,AKT2,2.8501687,0.67982614,0.004369604893509861608,0.017068769115272896392,1.7677977961505882136
in,RELA,2.7906463,0.7667296,0.005260292956316939446,0.019925352107261134343,1.7005939953075385141
in,RORC,2.636957,0.390202,0.0083653440655237741586,0.030091165703322927255,1.5215609877762182599
in,TGFB1,2.617322,0.2817533,0.0088622676318983843735,0.031650955828208510168,1.4996131701758972923
in,STING1,2.5472493,0.30192372,0.010857581936414017337,0.037963573204244815962,1.4206329176922245525
in,KLRG1,2.526644,0.6839887,0.011515813714256136618,0.03970970246295219691,1.401103367007689101
in,CD27,2.5027416,0.3417653,0.012323551305454273283,0.042203942826898196983,1.3746469739678049908
in,EPHA4,2.342242,1.3225433,0.019168283819382649774,0.062130232364479086316,1.2066970221405893108
in,MMRN1,2.3329124,1.0480704,0.019652736009798912192,0.06298953849294523788,1.200731573594904124
in,GZMK,2.081241,0.67446375,0.03741185760136126609,0.11322253367726262119,0.94606713076442520006
in,ITGB2,2.0399923,0.12631282,0.041351085537464235542,0.12234048975581134078,0.91242978525867896315
in,ZEB1,2.0299451,0.43700728,0.04236212856941421606,0.12459449579239474659,0.9045011430684285581
in,LEF1,2.0273993,0.71343654,0.042621598936722022988,0.12462455829450883038,0.90439636794285470145
in,BLK,1.9531096,1.4275063,0.050806612447431578894,0.14352150408878977528,0.8430830229201137205
in,FLT4,1.8984377,1.5282912,0.05763844973761424184,0.15848297372399675065,0.8000173884298448316
in,MS4A1,1.8133123,2.1219175,0.06978366454288954801,0.19066575011718456256,0.7197273136189767327
in,CXCR5,1.7894757,0.81033474,0.07353823856336198783,0.19983217000913583439,0.69933459552541324595
in,STAT1,1.6915041,0.66723424,0.09074055586164118947,0.24262180711668768218,0.6150701668461483968
in,MMP9,1.677796,0.6704307,0.09338691847092832343,0.246772995918823429,0.6077023663774344927
in,GPX3,1.6758186,-1.8441539,0.093773738449152904684,0.246772995918823429,0.6077023663774344927
in,SELPLG,1.6139286,0.23120074,0.10654292027736898818,0.27459515535404377395,0.5613071292316955139
in,CD3G,1.6058403,0.383437,0.10830899664625610879,0.2777153760160412932,0.556400074394296369
in,NLRC5,1.5954144,0.4716085,0.110619610299617157634,0.28219288341739068304,0.5494539428549834377
in,FCRL5,1.5293931,-1.0808111,0.1261670379255840635,0.31384835304871655515,0.5032801460119356342
in,TAP1,1.4665054,0.33501428,0.14251064561248702467,0.34930053112054487707,0.4568007540057929885
in,BMI1,1.459189,1.1006771,0.14451308787097144615,0.35247094602675965724,0.45287667583651925775
in,HDAC3,1.4392269,0.9188602,0.15008625473401274175,0.36428702605342899723,0.4385562957186623309
in,SELP,1.4029633,0.42906988,0.16062778687193135507,0.38375517389397217904,0.41594575619630835698
in,BST2,1.2978282,0.27269027,0.1943463773600255795,0.44169631218187632715,0.35487622674511214797
in,PIK3CG,1.123169,0.25720912,0.26136573029367782262,0.5706483580475905093,0.2436314280113367426
in,ATM,1.1205109,0.6677818,0.2624960838005587771,0.5706483580475905093,0.2436314280113367426
in,IFNAR2,1.0830315,0.35388198,0.2787944083345974544,0.5881738572459862535,0.230494282627531493
in,CYBB,1.0177903,2.6289485,0.30877759452155395525,0.6250558593553723341,0.20408116933468722506
in,CXCL12,0.9773885,1.2872484,0.32837686700231749626,0.6541371852635806672,0.18433116214191149877
in,RAF1,0.9457763,0.90394115,0.34426270622881238737,0.6723880981031491455,0.17237998258217052267
in,TSC1,0.9112879,0.66101754,0.362143707099947032,0.69111394484722710185,0.16045034403131682554
in,HLA-DRA,0.903695,,0.36615716528779818084,0.6961162838171067735,0.1573182069385392319
in,IL3RA,0.87248486,,0.3829439149308780932,0.716945733434651844,0.14451371540862108524
in,CD79B,0.8674111,0.42248994,0.38571680458784274315,0.716945733434651844,0.14451371540862108524
in,PROX1,0.8165553,-0.598247,0.41418259839202842265,0.7461188262728958298,0.12719200163581207735
in,HLA-DPB1,0.8154023,0.3242901,0.41484206740773010846,0.7461188262728958298,0.12719200163581207735
in,PTEN,0.7852786,1.1330869,0.43229022345574596997,0.764488261792535706,0.11662917850263025026
in,EOMES,0.7836271,0.3525788,0.43325894213500071306,0.764488261792535706,0.11662917850263025026
in,CCL2,0.78262633,0.8174645,0.4338465872413350688,0.764488261792535706,0.11662917850263025026
in,CD274,0.77677053,0.38354412,0.43729416571073853603,0.764488261792535706,0.11662917850263025026
in,LYZ,0.7373986,,0.4608799722272199917,0.7942158308803469735,0.100061460516335593875
in,PIK3CA,0.7299668,-8.373841,0.46541047689588332936,0.7942158308803469735,0.100061460516335593875
in,BRAF,0.7221018,,0.47023188697112294765,0.7970031982561406325,0.09853993584076758959
in,DUSP6,0.71879876,0.6198764,0.47226491194167097287,0.79774478368525503225,0.09813602690144184417
in,CCR2,0.6904395,0.10075075,0.48991783737958816136,0.81381700561393388593,0.089473239320373291857
in,TP53,0.6402852,0.34874716,0.5219872117182189353,0.840305003326813571,0.07556305058177553411
in,SOD2,0.6398755,-0.160636,0.5222535591332262417,0.840305003326813571,0.07556305058177553411
in,CR2,0.6064646,,0.5442062651720593891,0.8610858626140179828,0.064953540996692520534
in,ATR,0.59629613,2.1231272,0.5509774129372393414,0.86631668700823794005,0.062323320131988646166
in,VEGFB,0.5752685,,0.5651097335910570951,0.8823995415380310181,0.054334726211060529835
in,CD19,0.573213,,0.5665005056674159434,0.8823995415380310181,0.054334726211060529835
in,SMAD2,0.53419113,-0.55323493,0.5932092914470787903,0.9084023447345369595,0.04172175346600043103
in,PROK2,0.52323747,0.4691634,0.6008089948354464749,0.9084023447345369595,0.04172175346600043103
in,CD22,0.5217674,0.42723343,0.6018323163554721855,0.9084023447345369595,0.04172175346600043103
in,AXIN2,0.517513,0.259307,0.604798098462958289,0.9084023447345369595,0.04172175346600043103
in,FZD7,0.5025663,0.887108,0.61526924755151712887,0.91831230977838373963,0.037009594020154287775
in,CDH5,0.46736312,,0.64024011138809577837,0.94152957557072902706,0.02616603326236986127
in,NF1,0.45776224,0.49247846,0.6471232617368682938,0.94886108759071585705,0.022797363240412609863
in,PDK1,0.43672636,-0.11511401,0.6623098170417323072,0.95069417048739568443,0.021959169109831206461
in,BCL2,0.4295501,0.11118464,0.6675229270731967146,0.95069417048739568443,0.021959169109831206461
