,scores,logFC,PValue,FDR
ETS1,26.217955,1.0593631,1.6588321053027268e-151,4.1470802632568164e-149
CXCR4,20.578241,0.586249,4.3000846240930625e-94,4.300084624093062e-92
ZAP70,18.769413,0.8813109,1.3436408103468753e-78,9.597434359620538e-77
CD3E,16.633825,0.8364709,3.964549997109318e-62,2.4778437481933235e-60
TRAC,13.231385,0.6179385,5.7811622740458104e-40,2.627801033657187e-38
ITK,12.892602,0.94292027,4.954376180702857e-38,1.905529300270329e-36
HLA-B,12.367231,0.42334235,3.931405473736825e-35,1.3104684912456084e-33
PTPRC,12.019243,0.82149243,2.8153722585965582e-33,8.280506642931053e-32
XBP1,11.572129,,5.704908681881162e-31,1.5846968560781008e-29
CD28,10.335505,0.858811,4.868422658276078e-25,1.2171056645690197e-23
CREBBP,9.8083315,1.0508856,1.0366803363027816e-22,2.2536529050060468e-21
TGFBR2,9.660965,0.7222706,4.416854083042341e-22,8.833708166084682e-21
HLA-C,9.611188,0.48319682,7.171652813069284e-22,1.3280838542720895e-20
ITGB1,9.049471,-0.8745336,1.436623680544923e-19,2.565399429544505e-18
CD4,8.991164,0.59409523,2.4462445438960235e-19,4.217663006717282e-18
STAT6,8.867994,0.93494314,7.447528316977048e-19,1.1965819199459357e-17
JAK1,8.743935,0.5596177,2.2513014049231535e-18,3.411062734732051e-17
IL6R,8.004718,0.92945886,1.1974124992684836e-15,1.6181249990114648e-14
KLF2,7.9264336,1.0637958,2.255293520628162e-15,2.967491474510739e-14
CD79A,7.47211,2.2418494,7.89189954395355e-14,9.624267736528719e-13
CD5,7.410715,0.47911966,1.2561996501753609e-13,1.4954757740182867e-12
TAPBP,7.397226,0.5571217,1.3905871235438754e-13,1.6169617715626461e-12
SELL,7.3746996,1.3597537,1.647158599789603e-13,1.871771136124549e-12
CD40LG,7.1841297,1.0137951,6.763659229144049e-13,7.515176921271166e-12
IRF3,6.875059,0.62863255,6.196414978918731e-12,6.591930828636948e-11
ICAM2,6.592096,0.7069967,4.336611098044741e-11,4.3366110980447406e-10
CD2,6.498274,0.39930472,8.124683855285446e-11,7.812196014697544e-10
MAML1,6.404433,0.8485019,1.5092926375860334e-10,1.4238609788547483e-09
MZB1,6.3332977,2.581854,2.399755779212988e-10,2.1815961629208974e-09
TRAT1,6.1288404,0.89931333,8.852188126726121e-10,7.903739398862609e-09
VSIR,5.8788023,0.69071615,4.132449753254363e-09,3.4437081277119695e-08
CDKN1B,5.8235636,0.44898665,5.760586193683698e-09,4.721791962035819e-08
PRKCA,5.66253,1.0155331,1.4915722265916303e-08,1.1652908020247113e-07
STAT5A,5.658016,0.45975184,1.531325830600599e-08,1.1779429466158454e-07
CD3D,5.5331354,0.39414066,3.145565702664345e-08,2.31291595784143e-07
ITGA4,4.993368,0.7095175,5.933531304536266e-07,4.120507850372408e-06
TNFRSF13C,4.704638,1.5247033,2.543164966558513e-06,1.630233952922124e-05
ICAM3,4.5654516,0.35945338,4.984198592036685e-06,3.1151241200229285e-05
STAT4,4.562723,0.58779174,5.049434021223202e-06,3.1169345810019765e-05
TRBC1,4.525762,0.51881117,6.017825100592687e-06,3.6135743429480864e-05
MYC,4.4416876,-1.8373197,8.92560699871734e-06,5.250357058069024e-05
ITGA5,4.3743587,0.6239494,1.2179006183515247e-05,6.999428841100716e-05
PPARD,4.2210937,1.9351764,2.4311998048697847e-05,0.0001307096669284
TAP2,4.198468,0.3082694,2.6872644353985404e-05,0.0001429395976275
IKBKB,4.0681877,0.546731,4.738023582428627e-05,0.0002417358970626
GATA3,3.9682024,0.35745117,7.24168280544835e-05,0.0003584991487845
AKT3,3.7009423,0.63671356,0.0002148003953452,0.0010132094120059
BRD4,3.0955818,,0.001964272065473,0.0085403133281436
PECAM1,3.0669277,,0.0021627124257376,0.0092423607937504
NFKB2,3.0564597,0.27112725,0.0022396755398925,0.0094901505927651
